NRO_ORDEN;FECHA_ORDEN;FECHA_RECEP;NRO_RUC;NOMBRE_PROVEEDOR;PRODUCTO;UNIDAD_DE_MEDIDA;CANTIDAD;PRECIO_UNITARIO;PRECIO_TOTAL;CATEGORIA;DEPENDENCIA
144;8/06/2021;4/08/2021;20298841615;LENGUAJE_Y_COMERCIO_S.R.LTDA.;LIBRO_LAS_CRISOÅLIDAS;UNIDAD;2;115;230;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
145;8/06/2021;4/08/2021;20298841615;LENGUAJE_Y_COMERCIO_S.R.LTDA.;LIBRO_EL_MOÅS_ROÅPIDO;UNIDAD;2;115;230;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
145;8/06/2021;4/08/2021;20298841615;LENGUAJE_Y_COMERCIO_S.R.LTDA.;LIBRO_VIAJEROS:_ANIMALES_EXTRAORDINARIOS;UNIDAD;2;115;230;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
260;4/11/2021;25/11/2021;20308497951;EDITORIAL_OCEANO_PERUANA_S.A.;LIBRO_CETO_PARA_EL_COÅNCER:_EL_EMPLEO_DE_LA_TERAPIA_METABOLICA_CETOGENICA_COMO_ESTRATEGIA_NUTRICIONAL;UNIDAD;2;115;230;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
125;8/06/2021;;20535555860;CORPORACION_CANESPA_SAC;LIBRO_ANOÅLISIS_Y_DINOÅMICA_DEL_NUEVO_PCGE_2020:_POR_SUBCUENTAS_Y_SU_APLICACION_PROÅCTICA;UNIDAD;;115;230;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
259;4/11/2021;3/12/2021;20535555860;CORPORACION_CANESPA_SAC;LIBRO_EL_OÅRBOL_DE_LAS_BRUJAS;UNIDAD;;115;230;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
43;2/03/2020;3/03/2020;20602793053;SOLUCIONES_TECNOLOGICAS_S&A_EIRL;ORDENADOR_DE_CABLE_UTP;UNIDAD;10;23;230;GERENCIA_PERMANENTE;OFICINA_DE_TECNOLOGIA_DE_LA_INFORMACION_Y_ESTADISTICA
145;8/06/2021;4/08/2021;20298841615;LENGUAJE_Y_COMERCIO_S.R.LTDA.;LIBRO_LA_FOçSICA_DE_DIOS:_LA_CONEXION_ENTRE_LA_FOçSICA_CUOÅNTICA_LA_CONCIENCIA_LA_TEOROçA_M_EL_CICLO_LA_NEUROCIENCIA_Y_LA_TRASCENDENCIA;UNIDAD;2;115;230;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;
27;2/03/2021;5/03/2021;20566345413;REPRESENTACIONES_PLEWOR_IMPORT_S.A.C.;TOMACORRIENTE_DOBLE_UNIVERSAL_CON_PUESTA_A_TIERRA_220_V;UNIDAD;;9.2;230;IMPLEMENTACION_DE_BIBLIOTECA_POöBLICA_MODELO;
216;26/10/2020;30/12/2020;20295754444;IBERO_A_&_G_S.A.C.;LIBRO_LA_MUERTE_DEL_PADRE:_MI_LUCHA:_1;UNIDAD;5;45.9;229.5;DESARROLLO_DE_COLECCIONES;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
123;30/08/2020;15/09/2020;20155945860;PONTIFICIA_UNIVERSIDAD_CATOLICA_DEL_PERU;LIBRO_DEL_TAHUANTINSUYO_A_LA_HISTORIA_DEL_PERU;UNIDAD;;;229.5;DESARROLLO_DE_COLECCIONES;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
